Sentence,Error Type,Corrected Sentence
நான் பள்ளிக்கு விளையாடுகிறான்.,Verb Tense,நான் பள்ளிக்கு படிக்கிறாள்.
நாம் வீட்டில் சாப்பிடுகிறாள்.,Habitual Case,நாம் வீட்டில் விளையாடுகிறோம்.
பார்வதி புத்தகத்தை படிக்கிறார்கள்.,Habitual Case,பார்வதி புத்தகத்தை படிக்கிறாள்.
அவர்கள் புத்தகத்தை சாப்பிடுவாள்.,Habitual Case,அவர்கள் புத்தகத்தை படிக்கிறான்.
நாம் பந்து படிக்கிறாள்.,No Error,நாம் பந்து படிக்கிறாள்.
நான் பாடத்தை விளையாடுகிறான்.,Verb Tense,நான் பாடத்தை செல்வேன்.
நான் பந்து படிக்கிறாள்.,No Error,நான் பந்து படிக்கிறாள்.
அவன் வீட்டில் விளையாடுகிறோம்.,No Error,அவன் வீட்டில் விளையாடுகிறோம்.
நான் பள்ளிக்கு படிக்கிறாள்.,No Error,நான் பள்ளிக்கு படிக்கிறாள்.
பார்வதி பந்து விளையாடுகிறோம்.,No Error,பார்வதி பந்து விளையாடுகிறோம்.
நான் புத்தகத்தை செல்கிறான்.,Subject-Verb Agreement,நான் புத்தகத்தை படிக்கிறாள்.
நாம் பந்து படிக்கிறார்கள்.,Verb Tense,நாம் பந்து செல்வேன்.
அவன் பள்ளிக்கு சாப்பிடுவாள்.,Habitual Case,அவன் பள்ளிக்கு சாப்பிடுகிறான்.
நாம் பாடத்தை படிக்கிறார்கள்.,Subject-Verb Agreement,நாம் பாடத்தை படிக்கிறாள்.
நான் பாடத்தை விளையாடுகிறான்.,Subject-Verb Agreement,நான் பாடத்தை படிக்கிறான்.
நான் பாடத்தை படிக்கிறான்.,No Error,நான் பாடத்தை படிக்கிறான்.
பார்வதி பள்ளிக்கு சாப்பிடுவாள்.,Habitual Case,பார்வதி பள்ளிக்கு செல்வேன்.
நாம் பாடத்தை செல்கிறான்.,Spelling Error,நாம் பாடத்தை விளையாடுகிறோம்.
நான் புத்தகத்தை விளையாடுகிறோம்.,No Error,நான் புத்தகத்தை விளையாடுகிறோம்.
நாம் பள்ளிக்கு செல்கிறான்.,Verb Tense,நாம் பள்ளிக்கு செல்வேன்.
அவள் வீட்டில் விளையாடுகிறோம்.,No Error,அவள் வீட்டில் விளையாடுகிறோம்.
அவன் பழத்தை சாப்பிடுகிறாள்.,Spelling Error,அவன் பழத்தை சாப்பிடுகிறான்.
அவர்கள் பழத்தை சாப்பிடுகிறாள்.,Verb Tense,அவர்கள் பழத்தை செல்வேன்.
பார்வதி பழத்தை விளையாடுகிறான்.,Spelling Error,பார்வதி பழத்தை சாப்பிடுகிறான்.
பார்வதி புத்தகத்தை சாப்பிடுகிறான்.,No Error,பார்வதி புத்தகத்தை சாப்பிடுகிறான்.
அவள் புத்தகத்தை சாப்பிடுகிறான்.,No Error,அவள் புத்தகத்தை சாப்பிடுகிறான்.
நாம் பந்து செல்வேன்.,No Error,நாம் பந்து செல்வேன்.
பார்வதி பழத்தை படிக்கிறார்கள்.,Spelling Error,பார்வதி பழத்தை சாப்பிடுகிறான்.
அவர்கள் பள்ளிக்கு சாப்பிடுகிறாள்.,Subject-Verb Agreement,அவர்கள் பள்ளிக்கு படிக்கிறாள்.
நாம் பள்ளிக்கு விளையாடுகிறோம்.,No Error,நாம் பள்ளிக்கு விளையாடுகிறோம்.
நாம் பாடத்தை சாப்பிடுவாள்.,Habitual Case,நாம் பாடத்தை சாப்பிடுகிறான்.
பார்வதி பழத்தை சாப்பிடுகிறாள்.,Spelling Error,பார்வதி பழத்தை விளையாடுகிறோம்.
அவன் புத்தகத்தை செல்வேன்.,No Error,அவன் புத்தகத்தை செல்வேன்.
அவள் பந்து சாப்பிடுகிறாள்.,Verb Tense,அவள் பந்து விளையாடுகிறோம்.
அவன் வீட்டில் விளையாடுகிறான்.,Verb Tense,அவன் வீட்டில் படிக்கிறாள்.
நாம் பழத்தை படிக்கிறான்.,No Error,நாம் பழத்தை படிக்கிறான்.
அவள் பள்ளிக்கு படிக்கிறான்.,No Error,அவள் பள்ளிக்கு படிக்கிறான்.
அவள் பள்ளிக்கு செல்கிறான்.,Spelling Error,அவள் பள்ளிக்கு படிக்கிறாள்.
அவன் பழத்தை சாப்பிடுகிறாள்.,Spelling Error,அவன் பழத்தை சாப்பிடுகிறான்.
நான் வீட்டில் படிக்கிறான்.,No Error,நான் வீட்டில் படிக்கிறான்.
அவர்கள் புத்தகத்தை சாப்பிடுகிறான்.,No Error,அவர்கள் புத்தகத்தை சாப்பிடுகிறான்.
பார்வதி புத்தகத்தை படிக்கிறான்.,No Error,பார்வதி புத்தகத்தை படிக்கிறான்.
அவள் பழத்தை செல்கிறான்.,Habitual Case,அவள் பழத்தை செல்வேன்.
நான் வீட்டில் படிக்கிறான்.,No Error,நான் வீட்டில் படிக்கிறான்.
பார்வதி பள்ளிக்கு சாப்பிடுகிறான்.,No Error,பார்வதி பள்ளிக்கு சாப்பிடுகிறான்.
நாம் புத்தகத்தை சாப்பிடுவாள்.,Subject-Verb Agreement,நாம் புத்தகத்தை சாப்பிடுகிறான்.
நாம் பழத்தை சாப்பிடுகிறான்.,No Error,நாம் பழத்தை சாப்பிடுகிறான்.
பார்வதி புத்தகத்தை செல்வேன்.,No Error,பார்வதி புத்தகத்தை செல்வேன்.
பார்வதி பாடத்தை படிக்கிறான்.,No Error,பார்வதி பாடத்தை படிக்கிறான்.
நான் வீட்டில் சாப்பிடுவாள்.,Habitual Case,நான் வீட்டில் விளையாடுகிறோம்.
நான் பந்து சாப்பிடுவாள்.,Verb Tense,நான் பந்து படிக்கிறாள்.
அவள் பந்து சாப்பிடுகிறான்.,No Error,அவள் பந்து சாப்பிடுகிறான்.
அவன் பாடத்தை விளையாடுகிறான்.,Subject-Verb Agreement,அவன் பாடத்தை படிக்கிறான்.
பார்வதி வீட்டில் சாப்பிடுகிறாள்.,Verb Tense,பார்வதி வீட்டில் படிக்கிறாள்.
அவர்கள் பந்து விளையாடுகிறோம்.,No Error,அவர்கள் பந்து விளையாடுகிறோம்.
நான் புத்தகத்தை படிக்கிறார்கள்.,Habitual Case,நான் புத்தகத்தை விளையாடுகிறோம்.
அவன் பள்ளிக்கு படிக்கிறார்கள்.,Habitual Case,அவன் பள்ளிக்கு படிக்கிறாள்.
பார்வதி புத்தகத்தை செல்கிறான்.,Verb Tense,பார்வதி புத்தகத்தை விளையாடுகிறோம்.
அவள் வீட்டில் படிக்கிறார்கள்.,Subject-Verb Agreement,அவள் வீட்டில் படிக்கிறாள்.
அவள் பழத்தை படிக்கிறார்கள்.,Spelling Error,அவள் பழத்தை படிக்கிறான்.
அவள் வீட்டில் செல்கிறான்.,Habitual Case,அவள் வீட்டில் செல்வேன்.
நாம் வீட்டில் விளையாடுகிறோம்.,No Error,நாம் வீட்டில் விளையாடுகிறோம்.
அவர்கள் பள்ளிக்கு செல்கிறான்.,Verb Tense,அவர்கள் பள்ளிக்கு சாப்பிடுகிறான்.
நான் பந்து சாப்பிடுகிறான்.,No Error,நான் பந்து சாப்பிடுகிறான்.
அவர்கள் பந்து விளையாடுகிறான்.,Subject-Verb Agreement,அவர்கள் பந்து செல்வேன்.
அவள் புத்தகத்தை சாப்பிடுகிறாள்.,Spelling Error,அவள் புத்தகத்தை படிக்கிறாள்.
அவள் பாடத்தை விளையாடுகிறோம்.,No Error,அவள் பாடத்தை விளையாடுகிறோம்.
நாம் பள்ளிக்கு படிக்கிறார்கள்.,Verb Tense,நாம் பள்ளிக்கு படிக்கிறான்.
பார்வதி புத்தகத்தை படிக்கிறான்.,No Error,பார்வதி புத்தகத்தை படிக்கிறான்.
பார்வதி பள்ளிக்கு செல்வேன்.,No Error,பார்வதி பள்ளிக்கு செல்வேன்.
அவன் பள்ளிக்கு செல்கிறான்.,Habitual Case,அவன் பள்ளிக்கு செல்வேன்.
நான் வீட்டில் படிக்கிறார்கள்.,Verb Tense,நான் வீட்டில் செல்வேன்.
நான் பழத்தை படிக்கிறாள்.,No Error,நான் பழத்தை படிக்கிறாள்.
அவர்கள் பள்ளிக்கு செல்வேன்.,No Error,அவர்கள் பள்ளிக்கு செல்வேன்.
அவன் பாடத்தை சாப்பிடுவாள்.,Subject-Verb Agreement,அவன் பாடத்தை படிக்கிறான்.
நான் பந்து செல்வேன்.,No Error,நான் பந்து செல்வேன்.
நான் பந்து சாப்பிடுகிறான்.,No Error,நான் பந்து சாப்பிடுகிறான்.
அவன் பள்ளிக்கு படிக்கிறார்கள்.,Verb Tense,அவன் பள்ளிக்கு படிக்கிறான்.
நான் பள்ளிக்கு சாப்பிடுகிறாள்.,Habitual Case,நான் பள்ளிக்கு செல்வேன்.
அவர்கள் பந்து விளையாடுகிறோம்.,No Error,அவர்கள் பந்து விளையாடுகிறோம்.
அவன் பள்ளிக்கு செல்கிறான்.,Spelling Error,அவன் பள்ளிக்கு படிக்கிறான்.
அவன் பள்ளிக்கு சாப்பிடுவாள்.,Subject-Verb Agreement,அவன் பள்ளிக்கு படிக்கிறான்.
அவர்கள் வீட்டில் படிக்கிறார்கள்.,Spelling Error,அவர்கள் வீட்டில் படிக்கிறான்.
நாம் வீட்டில் செல்வேன்.,No Error,நாம் வீட்டில் செல்வேன்.
நான் வீட்டில் சாப்பிடுகிறான்.,No Error,நான் வீட்டில் சாப்பிடுகிறான்.
பார்வதி பந்து விளையாடுகிறோம்.,No Error,பார்வதி பந்து விளையாடுகிறோம்.
நான் பழத்தை படிக்கிறார்கள்.,Verb Tense,நான் பழத்தை படிக்கிறாள்.
அவள் பாடத்தை படிக்கிறார்கள்.,Habitual Case,அவள் பாடத்தை சாப்பிடுகிறான்.
பார்வதி பாடத்தை விளையாடுகிறான்.,Verb Tense,பார்வதி பாடத்தை விளையாடுகிறோம்.
அவள் புத்தகத்தை படிக்கிறான்.,No Error,அவள் புத்தகத்தை படிக்கிறான்.
அவன் புத்தகத்தை சாப்பிடுகிறான்.,No Error,அவன் புத்தகத்தை சாப்பிடுகிறான்.
அவன் வீட்டில் செல்கிறான்.,Spelling Error,அவன் வீட்டில் விளையாடுகிறோம்.
நாம் பள்ளிக்கு சாப்பிடுகிறாள்.,Verb Tense,நாம் பள்ளிக்கு படிக்கிறான்.
நாம் புத்தகத்தை படிக்கிறாள்.,No Error,நாம் புத்தகத்தை படிக்கிறாள்.
பார்வதி பள்ளிக்கு செல்கிறான்.,Subject-Verb Agreement,பார்வதி பள்ளிக்கு படிக்கிறான்.
நான் பள்ளிக்கு படிக்கிறான்.,No Error,நான் பள்ளிக்கு படிக்கிறான்.
பார்வதி பழத்தை செல்வேன்.,No Error,பார்வதி பழத்தை செல்வேன்.
அவர்கள் பாடத்தை படிக்கிறார்கள்.,Spelling Error,அவர்கள் பாடத்தை சாப்பிடுகிறான்.
பார்வதி பாடத்தை செல்வேன்.,No Error,பார்வதி பாடத்தை செல்வேன்.
அவர்கள் பள்ளிக்கு படிக்கிறாள்.,No Error,அவர்கள் பள்ளிக்கு படிக்கிறாள்.
நாம் பள்ளிக்கு விளையாடுகிறான்.,Spelling Error,நாம் பள்ளிக்கு செல்வேன்.
பார்வதி பள்ளிக்கு விளையாடுகிறான்.,Verb Tense,பார்வதி பள்ளிக்கு சாப்பிடுகிறான்.
அவர்கள் பள்ளிக்கு விளையாடுகிறோம்.,No Error,அவர்கள் பள்ளிக்கு விளையாடுகிறோம்.
நான் பாடத்தை படிக்கிறார்கள்.,Subject-Verb Agreement,நான் பாடத்தை விளையாடுகிறோம்.
பார்வதி வீட்டில் சாப்பிடுகிறான்.,No Error,பார்வதி வீட்டில் சாப்பிடுகிறான்.
அவள் வீட்டில் விளையாடுகிறோம்.,No Error,அவள் வீட்டில் விளையாடுகிறோம்.
நான் வீட்டில் சாப்பிடுகிறான்.,No Error,நான் வீட்டில் சாப்பிடுகிறான்.
பார்வதி பாடத்தை செல்கிறான்.,Verb Tense,பார்வதி பாடத்தை படிக்கிறாள்.
அவன் வீட்டில் செல்வேன்.,No Error,அவன் வீட்டில் செல்வேன்.
நான் புத்தகத்தை படிக்கிறார்கள்.,Verb Tense,நான் புத்தகத்தை செல்வேன்.
அவர்கள் வீட்டில் சாப்பிடுகிறாள்.,Subject-Verb Agreement,அவர்கள் வீட்டில் படிக்கிறான்.
அவர்கள் வீட்டில் படிக்கிறாள்.,No Error,அவர்கள் வீட்டில் படிக்கிறாள்.
நான் பழத்தை சாப்பிடுவாள்.,Verb Tense,நான் பழத்தை படிக்கிறாள்.
நான் வீட்டில் செல்கிறான்.,Spelling Error,நான் வீட்டில் சாப்பிடுகிறான்.
நாம் பழத்தை செல்வேன்.,No Error,நாம் பழத்தை செல்வேன்.
அவன் புத்தகத்தை செல்வேன்.,No Error,அவன் புத்தகத்தை செல்வேன்.
பார்வதி பள்ளிக்கு செல்வேன்.,No Error,பார்வதி பள்ளிக்கு செல்வேன்.
பார்வதி பாடத்தை படிக்கிறாள்.,No Error,பார்வதி பாடத்தை படிக்கிறாள்.
பார்வதி பள்ளிக்கு சாப்பிடுகிறாள்.,Habitual Case,பார்வதி பள்ளிக்கு விளையாடுகிறோம்.
பார்வதி பாடத்தை படிக்கிறாள்.,No Error,பார்வதி பாடத்தை படிக்கிறாள்.
அவன் புத்தகத்தை படிக்கிறார்கள்.,Habitual Case,அவன் புத்தகத்தை சாப்பிடுகிறான்.
பார்வதி புத்தகத்தை செல்வேன்.,No Error,பார்வதி புத்தகத்தை செல்வேன்.
நாம் பள்ளிக்கு விளையாடுகிறோம்.,No Error,நாம் பள்ளிக்கு விளையாடுகிறோம்.
நான் பள்ளிக்கு செல்கிறான்.,Spelling Error,நான் பள்ளிக்கு செல்வேன்.
நான் பள்ளிக்கு சாப்பிடுவாள்.,Subject-Verb Agreement,நான் பள்ளிக்கு சாப்பிடுகிறான்.
அவன் வீட்டில் விளையாடுகிறோம்.,No Error,அவன் வீட்டில் விளையாடுகிறோம்.
நாம் வீட்டில் செல்கிறான்.,Habitual Case,நாம் வீட்டில் செல்வேன்.
அவன் வீட்டில் செல்கிறான்.,Subject-Verb Agreement,அவன் வீட்டில் சாப்பிடுகிறான்.
அவள் பந்து விளையாடுகிறோம்.,No Error,அவள் பந்து விளையாடுகிறோம்.
அவர்கள் பழத்தை செல்வேன்.,No Error,அவர்கள் பழத்தை செல்வேன்.
பார்வதி வீட்டில் செல்கிறான்.,Subject-Verb Agreement,பார்வதி வீட்டில் விளையாடுகிறோம்.
அவர்கள் பாடத்தை சாப்பிடுவாள்.,Verb Tense,அவர்கள் பாடத்தை சாப்பிடுகிறான்.
அவன் புத்தகத்தை விளையாடுகிறான்.,Habitual Case,அவன் புத்தகத்தை சாப்பிடுகிறான்.
நாம் பாடத்தை விளையாடுகிறான்.,Subject-Verb Agreement,நாம் பாடத்தை சாப்பிடுகிறான்.
அவன் பந்து செல்கிறான்.,Verb Tense,அவன் பந்து சாப்பிடுகிறான்.
பார்வதி வீட்டில் சாப்பிடுகிறான்.,No Error,பார்வதி வீட்டில் சாப்பிடுகிறான்.
அவள் பாடத்தை சாப்பிடுவாள்.,Subject-Verb Agreement,அவள் பாடத்தை படிக்கிறாள்.
அவன் பழத்தை செல்வேன்.,No Error,அவன் பழத்தை செல்வேன்.
அவன் புத்தகத்தை சாப்பிடுகிறாள்.,Spelling Error,அவன் புத்தகத்தை செல்வேன்.
நாம் பந்து படிக்கிறாள்.,No Error,நாம் பந்து படிக்கிறாள்.
அவள் பள்ளிக்கு சாப்பிடுகிறான்.,No Error,அவள் பள்ளிக்கு சாப்பிடுகிறான்.
அவள் பழத்தை விளையாடுகிறான்.,Spelling Error,அவள் பழத்தை சாப்பிடுகிறான்.
நான் வீட்டில் விளையாடுகிறான்.,Spelling Error,நான் வீட்டில் படிக்கிறாள்.
நான் புத்தகத்தை செல்வேன்.,No Error,நான் புத்தகத்தை செல்வேன்.
அவன் பாடத்தை செல்கிறான்.,Spelling Error,அவன் பாடத்தை செல்வேன்.
அவர்கள் பள்ளிக்கு சாப்பிடுகிறாள்.,Spelling Error,அவர்கள் பள்ளிக்கு விளையாடுகிறோம்.
நாம் பந்து செல்கிறான்.,Subject-Verb Agreement,நாம் பந்து படிக்கிறாள்.
நான் பள்ளிக்கு சாப்பிடுவாள்.,Subject-Verb Agreement,நான் பள்ளிக்கு சாப்பிடுகிறான்.
நாம் பாடத்தை சாப்பிடுகிறான்.,No Error,நாம் பாடத்தை சாப்பிடுகிறான்.
நாம் பாடத்தை சாப்பிடுகிறான்.,No Error,நாம் பாடத்தை சாப்பிடுகிறான்.
அவர்கள் பழத்தை படிக்கிறான்.,No Error,அவர்கள் பழத்தை படிக்கிறான்.
நாம் பள்ளிக்கு விளையாடுகிறான்.,Spelling Error,நாம் பள்ளிக்கு படிக்கிறான்.
அவள் பழத்தை செல்வேன்.,No Error,அவள் பழத்தை செல்வேன்.
நான் பள்ளிக்கு செல்வேன்.,No Error,நான் பள்ளிக்கு செல்வேன்.
அவர்கள் புத்தகத்தை படிக்கிறாள்.,No Error,அவர்கள் புத்தகத்தை படிக்கிறாள்.
நாம் பழத்தை சாப்பிடுகிறாள்.,Spelling Error,நாம் பழத்தை விளையாடுகிறோம்.
அவள் வீட்டில் படிக்கிறார்கள்.,Verb Tense,அவள் வீட்டில் படிக்கிறாள்.
அவர்கள் பந்து விளையாடுகிறான்.,Subject-Verb Agreement,அவர்கள் பந்து படிக்கிறான்.
அவன் பழத்தை செல்வேன்.,No Error,அவன் பழத்தை செல்வேன்.
பார்வதி பந்து சாப்பிடுகிறாள்.,Habitual Case,பார்வதி பந்து படிக்கிறான்.
அவர்கள் பாடத்தை சாப்பிடுகிறாள்.,Verb Tense,அவர்கள் பாடத்தை செல்வேன்.
நாம் பழத்தை படிக்கிறார்கள்.,Habitual Case,நாம் பழத்தை சாப்பிடுகிறான்.
அவள் பாடத்தை விளையாடுகிறோம்.,No Error,அவள் பாடத்தை விளையாடுகிறோம்.
நான் பழத்தை சாப்பிடுகிறாள்.,Habitual Case,நான் பழத்தை படிக்கிறான்.
அவள் பந்து விளையாடுகிறான்.,Subject-Verb Agreement,அவள் பந்து படிக்கிறான்.
நான் பழத்தை விளையாடுகிறோம்.,No Error,நான் பழத்தை விளையாடுகிறோம்.
அவர்கள் பள்ளிக்கு விளையாடுகிறோம்.,No Error,அவர்கள் பள்ளிக்கு விளையாடுகிறோம்.
அவள் வீட்டில் விளையாடுகிறான்.,Verb Tense,அவள் வீட்டில் சாப்பிடுகிறான்.
நாம் புத்தகத்தை செல்கிறான்.,Habitual Case,நாம் புத்தகத்தை விளையாடுகிறோம்.
நாம் பழத்தை சாப்பிடுகிறான்.,No Error,நாம் பழத்தை சாப்பிடுகிறான்.
நாம் வீட்டில் செல்கிறான்.,Verb Tense,நாம் வீட்டில் படிக்கிறான்.
நான் பாடத்தை சாப்பிடுகிறான்.,No Error,நான் பாடத்தை சாப்பிடுகிறான்.
பார்வதி பந்து செல்கிறான்.,Habitual Case,பார்வதி பந்து விளையாடுகிறோம்.
நாம் புத்தகத்தை விளையாடுகிறோம்.,No Error,நாம் புத்தகத்தை விளையாடுகிறோம்.
அவர்கள் புத்தகத்தை விளையாடுகிறான்.,Verb Tense,அவர்கள் புத்தகத்தை சாப்பிடுகிறான்.
அவர்கள் பாடத்தை படிக்கிறாள்.,No Error,அவர்கள் பாடத்தை படிக்கிறாள்.
நாம் பந்து செல்வேன்.,No Error,நாம் பந்து செல்வேன்.
நான் பந்து விளையாடுகிறான்.,Verb Tense,நான் பந்து விளையாடுகிறோம்.
நாம் புத்தகத்தை சாப்பிடுவாள்.,Spelling Error,நாம் புத்தகத்தை படிக்கிறாள்.
நாம் பந்து சாப்பிடுகிறான்.,No Error,நாம் பந்து சாப்பிடுகிறான்.
அவள் பந்து செல்கிறான்.,Spelling Error,அவள் பந்து செல்வேன்.
அவர்கள் பழத்தை சாப்பிடுகிறான்.,No Error,அவர்கள் பழத்தை சாப்பிடுகிறான்.
பார்வதி பாடத்தை படிக்கிறான்.,No Error,பார்வதி பாடத்தை படிக்கிறான்.
நான் பாடத்தை படிக்கிறார்கள்.,Habitual Case,நான் பாடத்தை படிக்கிறான்.
அவர்கள் பள்ளிக்கு படிக்கிறாள்.,No Error,அவர்கள் பள்ளிக்கு படிக்கிறாள்.
பார்வதி பள்ளிக்கு சாப்பிடுவாள்.,Subject-Verb Agreement,பார்வதி பள்ளிக்கு படிக்கிறாள்.
அவர்கள் பழத்தை சாப்பிடுகிறாள்.,Habitual Case,அவர்கள் பழத்தை படிக்கிறாள்.
அவள் புத்தகத்தை படிக்கிறார்கள்.,Spelling Error,அவள் புத்தகத்தை படிக்கிறான்.
அவள் புத்தகத்தை சாப்பிடுகிறாள்.,Spelling Error,அவள் புத்தகத்தை விளையாடுகிறோம்.
அவர்கள் பழத்தை செல்வேன்.,No Error,அவர்கள் பழத்தை செல்வேன்.
பார்வதி பந்து சாப்பிடுவாள்.,Spelling Error,பார்வதி பந்து செல்வேன்.
பார்வதி புத்தகத்தை படிக்கிறாள்.,No Error,பார்வதி புத்தகத்தை படிக்கிறாள்.
அவன் பழத்தை செல்கிறான்.,Spelling Error,அவன் பழத்தை படிக்கிறான்.
நான் பந்து படிக்கிறாள்.,No Error,நான் பந்து படிக்கிறாள்.
அவர்கள் பாடத்தை சாப்பிடுகிறாள்.,Habitual Case,அவர்கள் பாடத்தை படிக்கிறான்.
அவள் பாடத்தை படிக்கிறான்.,No Error,அவள் பாடத்தை படிக்கிறான்.
அவன் வீட்டில் செல்வேன்.,No Error,அவன் வீட்டில் செல்வேன்.
நாம் வீட்டில் படிக்கிறார்கள்.,Spelling Error,நாம் வீட்டில் படிக்கிறான்.
அவர்கள் பந்து படிக்கிறான்.,No Error,அவர்கள் பந்து படிக்கிறான்.
நான் பழத்தை சாப்பிடுகிறாள்.,Subject-Verb Agreement,நான் பழத்தை செல்வேன்.
நான் பந்து படிக்கிறார்கள்.,Subject-Verb Agreement,நான் பந்து சாப்பிடுகிறான்.
அவன் பந்து செல்கிறான்.,Spelling Error,அவன் பந்து சாப்பிடுகிறான்.
நாம் வீட்டில் செல்கிறான்.,Subject-Verb Agreement,நாம் வீட்டில் செல்வேன்.
அவள் பாடத்தை சாப்பிடுகிறான்.,No Error,அவள் பாடத்தை சாப்பிடுகிறான்.
நாம் பழத்தை விளையாடுகிறோம்.,No Error,நாம் பழத்தை விளையாடுகிறோம்.
அவள் புத்தகத்தை படிக்கிறார்கள்.,Spelling Error,அவள் புத்தகத்தை சாப்பிடுகிறான்.
அவள் பாடத்தை சாப்பிடுகிறாள்.,Habitual Case,அவள் பாடத்தை விளையாடுகிறோம்.
அவர்கள் பழத்தை சாப்பிடுகிறான்.,No Error,அவர்கள் பழத்தை சாப்பிடுகிறான்.
நாம் பாடத்தை சாப்பிடுகிறான்.,No Error,நாம் பாடத்தை சாப்பிடுகிறான்.
அவர்கள் பந்து படிக்கிறான்.,No Error,அவர்கள் பந்து படிக்கிறான்.
அவர்கள் வீட்டில் படிக்கிறாள்.,No Error,அவர்கள் வீட்டில் படிக்கிறாள்.
அவர்கள் பழத்தை சாப்பிடுவாள்.,Spelling Error,அவர்கள் பழத்தை படிக்கிறாள்.
அவர்கள் பள்ளிக்கு படிக்கிறார்கள்.,Verb Tense,அவர்கள் பள்ளிக்கு செல்வேன்.
அவள் பழத்தை படிக்கிறாள்.,No Error,அவள் பழத்தை படிக்கிறாள்.
நான் பழத்தை செல்கிறான்.,Verb Tense,நான் பழத்தை செல்வேன்.
அவர்கள் பாடத்தை படிக்கிறாள்.,No Error,அவர்கள் பாடத்தை படிக்கிறாள்.
அவர்கள் வீட்டில் விளையாடுகிறான்.,Verb Tense,அவர்கள் வீட்டில் சாப்பிடுகிறான்.
நான் பாடத்தை செல்கிறான்.,Subject-Verb Agreement,நான் பாடத்தை படிக்கிறான்.
அவர்கள் பந்து விளையாடுகிறான்.,Habitual Case,அவர்கள் பந்து சாப்பிடுகிறான்.
நாம் பழத்தை விளையாடுகிறோம்.,No Error,நாம் பழத்தை விளையாடுகிறோம்.
நாம் புத்தகத்தை படிக்கிறார்கள்.,Subject-Verb Agreement,நாம் புத்தகத்தை செல்வேன்.
அவள் பள்ளிக்கு விளையாடுகிறான்.,Subject-Verb Agreement,அவள் பள்ளிக்கு விளையாடுகிறோம்.
நாம் பழத்தை படிக்கிறார்கள்.,Habitual Case,நாம் பழத்தை படிக்கிறான்.
நாம் பந்து படிக்கிறான்.,No Error,நாம் பந்து படிக்கிறான்.
பார்வதி பழத்தை சாப்பிடுகிறான்.,No Error,பார்வதி பழத்தை சாப்பிடுகிறான்.
நாம் பாடத்தை சாப்பிடுகிறான்.,No Error,நாம் பாடத்தை சாப்பிடுகிறான்.
நான் பழத்தை விளையாடுகிறான்.,Subject-Verb Agreement,நான் பழத்தை விளையாடுகிறோம்.
அவர்கள் பள்ளிக்கு சாப்பிடுவாள்.,Habitual Case,அவர்கள் பள்ளிக்கு படிக்கிறாள்.
பார்வதி பந்து படிக்கிறான்.,No Error,பார்வதி பந்து படிக்கிறான்.
நான் பந்து படிக்கிறாள்.,No Error,நான் பந்து படிக்கிறாள்.
அவள் வீட்டில் செல்வேன்.,No Error,அவள் வீட்டில் செல்வேன்.
நான் பாடத்தை சாப்பிடுகிறான்.,No Error,நான் பாடத்தை சாப்பிடுகிறான்.
அவள் பந்து சாப்பிடுகிறான்.,No Error,அவள் பந்து சாப்பிடுகிறான்.
பார்வதி பாடத்தை படிக்கிறான்.,No Error,பார்வதி பாடத்தை படிக்கிறான்.
அவன் புத்தகத்தை சாப்பிடுவாள்.,Verb Tense,அவன் புத்தகத்தை படிக்கிறாள்.
நாம் வீட்டில் சாப்பிடுகிறாள்.,Verb Tense,நாம் வீட்டில் சாப்பிடுகிறான்.
நான் வீட்டில் சாப்பிடுவாள்.,Verb Tense,நான் வீட்டில் விளையாடுகிறோம்.
நாம் புத்தகத்தை படிக்கிறாள்.,No Error,நாம் புத்தகத்தை படிக்கிறாள்.
நான் பந்து சாப்பிடுவாள்.,Verb Tense,நான் பந்து செல்வேன்.
அவன் பள்ளிக்கு படிக்கிறாள்.,No Error,அவன் பள்ளிக்கு படிக்கிறாள்.
அவர்கள் பந்து சாப்பிடுகிறாள்.,Habitual Case,அவர்கள் பந்து செல்வேன்.
அவள் பாடத்தை விளையாடுகிறான்.,Subject-Verb Agreement,அவள் பாடத்தை படிக்கிறான்.
அவன் பழத்தை விளையாடுகிறோம்.,No Error,அவன் பழத்தை விளையாடுகிறோம்.
அவர்கள் பந்து விளையாடுகிறான்.,Habitual Case,அவர்கள் பந்து படிக்கிறான்.
பார்வதி பழத்தை செல்வேன்.,No Error,பார்வதி பழத்தை செல்வேன்.
அவர்கள் வீட்டில் படிக்கிறார்கள்.,Subject-Verb Agreement,அவர்கள் வீட்டில் சாப்பிடுகிறான்.
நான் புத்தகத்தை சாப்பிடுவாள்.,Subject-Verb Agreement,நான் புத்தகத்தை செல்வேன்.
நான் புத்தகத்தை விளையாடுகிறோம்.,No Error,நான் புத்தகத்தை விளையாடுகிறோம்.
நாம் பழத்தை படிக்கிறான்.,No Error,நாம் பழத்தை படிக்கிறான்.
நாம் பாடத்தை சாப்பிடுகிறான்.,No Error,நாம் பாடத்தை சாப்பிடுகிறான்.
அவர்கள் புத்தகத்தை விளையாடுகிறான்.,Habitual Case,அவர்கள் புத்தகத்தை படிக்கிறான்.
நான் பாடத்தை படிக்கிறான்.,No Error,நான் பாடத்தை படிக்கிறான்.
நாம் வீட்டில் படிக்கிறாள்.,No Error,நாம் வீட்டில் படிக்கிறாள்.
அவள் புத்தகத்தை செல்கிறான்.,Subject-Verb Agreement,அவள் புத்தகத்தை சாப்பிடுகிறான்.
